# id r g b
608 184 54 17
690 241 247 47
298 38 200 195
639 111 131 24
58 219 32 158
1109 229 23 72
953 156 4 211
1002 77 110 240
137 221 147 38
740 248 234 127
678 77 47 247
880 133 104 237
698 47 247 237
786 221 103 38
1155 64 9 208
908 240 77 172
401 124 118 218
694 49 247 47
725 127 214 248
936 200 53 38
1023 77 240 214
361 240 77 84
